Color1,Color2
Purple,Yellow
Green,White
Purple,Yellow
Black,White
Purple,Yellow
Gray,White
Yellow,Black
White,Purple
Gray,White
White,Purple
Brown,Yellow
Brown,Yellow
Yellow,Black
Red,Blue
Orange,Black
Green,White
White,Purple
Gray,White
Blue,Green
Brown,Yellow
Yellow,Black
Green,White
Gray,White
White,Purple
White,Purple
Yellow,Black
Black,White
Gray,White
Yellow,Black
Brown,Yellow
Yellow,Black
Red,Blue
Brown,Yellow
Gray,White
Brown,Yellow
Purple,Yellow
Gray,White
Red,Blue
Pink,Blue
White,Purple
Brown,Yellow
Blue,Green
Orange,Black
Blue,Green
Purple,Yellow
White,Purple
White,Purple
Green,White
Black,White
Red,Blue
Green,White
Yellow,Black
White,Purple
Blue,Green
White,Purple
White,Purple
Pink,Blue
Purple,Yellow
Gray,White
Gray,White
Purple,Yellow
Yellow,Black
Purple,Yellow
Black,White
Pink,Blue
Yellow,Black
Yellow,Black
Orange,Black
Orange,Black
Brown,Yellow
Brown,Yellow
Orange,Black
Red,Blue
Purple,Yellow
Yellow,Black
Pink,Blue
Purple,Yellow
Brown,Yellow
Brown,Yellow
Gray,White
Gray,White
Orange,Black
Brown,Yellow
Pink,Blue
Red,Blue
Yellow,Black
Black,White
Gray,White
Purple,Yellow
Orange,Black
Orange,Black
Orange,Black
Gray,White
White,Purple
Green,White
Pink,Blue
Red,Blue
Red,Blue
Black,White
Black,White
Yellow,Black
Red,Blue
Green,White
Pink,Blue
Yellow,Black
Yellow,Black
Blue,Green
Pink,Blue
Orange,Black
Black,White
Green,White
Brown,Yellow
Red,Blue
Yellow,Black
Black,White
Yellow,Black
Orange,Black
Pink,Blue
Brown,Yellow
White,Purple
Gray,White
Purple,Yellow
White,Purple
Pink,Blue
Green,White
Pink,Blue
White,Purple
White,Purple
Orange,Black
Green,White
Red,Blue
Gray,White
Gray,White
White,Purple
White,Purple
Pink,Blue
Green,White
Pink,Blue
Gray,White
Red,Blue
Green,White
Orange,Black
Pink,Blue
Pink,Blue
Black,White
Blue,Green
Black,White
Brown,Yellow
White,Purple
Gray,White
Blue,Green
Red,Blue
Blue,Green
Gray,White
Green,White
Yellow,Black
Blue,Green
Pink,Blue
Green,White
Brown,Yellow
Orange,Black
Green,White
Gray,White
White,Purple
Gray,White
Black,White
White,Purple
Gray,White
Brown,Yellow
Green,White
Brown,Yellow
Purple,Yellow
Purple,Yellow
Pink,Blue
Pink,Blue
Yellow,Black
Red,Blue
Orange,Black
Brown,Yellow
Purple,Yellow
Gray,White
Purple,Yellow
Brown,Yellow
Orange,Black
Black,White
Gray,White
Orange,Black
Blue,Green
Blue,Green
Green,White
Red,Blue
Brown,Yellow
Black,White
Blue,Green
Blue,Green
Orange,Black
Orange,Black
Gray,White
Red,Blue
Green,White
Green,White
Purple,Yellow
Green,White
White,Purple
Red,Blue
Green,White
Blue,Green
Red,Blue
Blue,Green
Brown,Yellow
Blue,Green
Purple,Yellow
Orange,Black
Orange,Black
Purple,Yellow
Green,White
Red,Blue
Brown,Yellow
Pink,Blue
Orange,Black
Brown,Yellow
Blue,Green
Purple,Yellow
Red,Blue
Yellow,Black
Blue,Green
White,Purple
Purple,Yellow
Red,Blue
Green,White
Brown,Yellow
Purple,Yellow
Blue,Green
Red,Blue
Black,White
Green,White
Yellow,Black
Green,White
White,Purple
Purple,Yellow
Red,Blue
Orange,Black
White,Purple
Pink,Blue
Brown,Yellow
Green,White
Blue,Green
Blue,Green
Red,Blue
Yellow,Black
Pink,Blue
Red,Blue
Brown,Yellow
Yellow,Black
Gray,White
Blue,Green
Brown,Yellow
Blue,Green
Green,White
Blue,Green
Purple,Yellow
Blue,Green
Red,Blue
Purple,Yellow
Purple,Yellow
Purple,Yellow
Gray,White
Orange,Black
Yellow,Black
Blue,Green
White,Purple
Brown,Yellow
Green,White
Pink,Blue
Blue,Green
Gray,White
Red,Blue
Green,White
Green,White
Orange,Black
Black,White
Pink,Blue
Green,White
Gray,White
Green,White
Green,White
Brown,Yellow
Orange,Black
Yellow,Black
Blue,Green
Brown,Yellow
Black,White
Black,White
White,Purple
Blue,Green
Pink,Blue
White,Purple
Black,White
Orange,Black
Orange,Black
Blue,Green
Blue,Green
White,Purple
Pink,Blue
Blue,Green
Brown,Yellow
Green,White
White,Purple
Purple,Yellow
Blue,Green
Black,White
Brown,Yellow
Pink,Blue
Red,Blue
Gray,White
Blue,Green
Yellow,Black
Orange,Black
Green,White
Orange,Black
Purple,Yellow
Red,Blue
Yellow,Black
Green,White
Purple,Yellow
Gray,White
White,Purple
Yellow,Black
Gray,White
Yellow,Black
Green,White
Gray,White
Black,White
Purple,Yellow
Black,White
Purple,Yellow
Blue,Green
Blue,Green
Yellow,Black
Pink,Blue
Black,White
Green,White
Gray,White
Gray,White
Gray,White
Blue,Green
Black,White
Red,Blue
Green,White
Purple,Yellow
Purple,Yellow
Brown,Yellow
Pink,Blue
Yellow,Black
Purple,Yellow
Pink,Blue
Brown,Yellow
Orange,Black
Gray,White
Orange,Black
Brown,Yellow
White,Purple
White,Purple
Pink,Blue
White,Purple
Purple,Yellow
Red,Blue
Orange,Black
Red,Blue
Green,White
Gray,White
Gray,White
Black,White
Orange,Black
Orange,Black
Purple,Yellow
Purple,Yellow
Blue,Green
Green,White
Green,White
Pink,Blue
Gray,White
Orange,Black
Purple,Yellow
Blue,Green
Pink,Blue
Pink,Blue
Pink,Blue
Purple,Yellow
Red,Blue
Pink,Blue
Yellow,Black
Pink,Blue
White,Purple
Orange,Black
Gray,White
Blue,Green
Blue,Green
Orange,Black
Black,White
Blue,Green
Orange,Black
Pink,Blue
White,Purple
Yellow,Black
Brown,Yellow
Blue,Green
Red,Blue
Yellow,Black
Brown,Yellow
White,Purple
Pink,Blue
Blue,Green
White,Purple
Blue,Green
Purple,Yellow
Black,White
Pink,Blue
White,Purple
Red,Blue
Brown,Yellow
Orange,Black
Red,Blue
Blue,Green
Brown,Yellow
Black,White
Black,White
Yellow,Black
Red,Blue
Yellow,Black
Orange,Black
Black,White
